id,area,task,status,priority,current_artifact,next_step,notes,updated_at
T100,backend,把前端拼 EastMoney URL 的模式收口为 Python action 级接口,done,P0,"scripts/server/modules/eastmoney.py; scripts/server/modules/eastmoney_actions.py; services/eastmoneyService.ts","已完成","前端高频服务已改为调用 /eastmoney/action，stockLists、kline、sector、limitUpPool、emotionIndicator、sentimentCycle 不再直接构造 EastMoney URL",2026-04-17T01:32:00+08:00
T101,backend,为 EastMoney 代理返回来源元信息和回退状态,done,P0,"scripts/server/modules/eastmoney.py; scripts/server/modules/eastmoney_fetch.py","已完成","代理返回 data+meta，包含 datasetKey、source、updatedAt、isSnapshotFallback、isCached",2026-04-17T01:32:00+08:00
T102,frontend,在高频页面展示数据来源与更新时间,done,P0,"components/StockInfoSection.tsx; components/SentimentSection.tsx; components/SectorCycleSection.tsx; components/LimitUpLadderSection.tsx","已完成","新增 DataFreshnessBadge，StockInfo、SectorCycle、LimitUpLadder 已接入；Sentiment 现有来源徽标已升级为来源+更新时间",2026-04-17T01:32:00+08:00
T103,backend,把高频数据采集从按页面触发升级为可手动刷新和定时刷新,done,P0,"scripts/server/modules/eastmoney.py; scripts/server/modules/eastmoney_refresh.py; scripts/refresh_eastmoney_snapshots.py","已完成","新增 /eastmoney/refresh 手动刷新接口、启动时调度的定时刷新器和 CLI 刷新脚本",2026-04-17T01:32:00+08:00
T104,data,把 EastMoney 最近成功快照升级为按业务数据集命名的持久化文件,done,P1,"data/system/eastmoney_snapshots; scripts/server/modules/eastmoney_fetch.py","已完成","快照文件已按 datasetKey 命名并持久化，摆脱纯 URL 哈希文件名",2026-04-17T01:32:00+08:00
T105,frontend,把高频页面改成快照优先而不是默认追实时,done,P1,"services/quotes/stockLists.ts; services/sentimentCycle/*; services/sectorService.ts; services/limitUpPoolService.ts","已完成","高频 EastMoney action 默认 preferSnapshot=true，页面先读本地/快照再决定是否走实时采集",2026-04-17T01:32:00+08:00
T106,backend,给 EastMoney 代理补最小监控和日志汇总,done,P1,"scripts/server/modules/eastmoney_fetch.py; scripts/server/modules/eastmoney.py","已完成","新增 monitor 统计、dataset 级状态和 /eastmoney/status 汇总接口",2026-04-17T01:32:00+08:00
T107,service,清理仍可直接读取本地文件但仍走远程抓取的服务分支,done,P1,"services/quotes/stockLists.ts; services/quotes/kline.ts; services/sectorService.ts; services/limitUpPoolService.ts","已完成","stock list、kline、sector、limit pool 等分支已强化 local first / snapshot first",2026-04-17T01:32:00+08:00
T108,auth,统一 token 存储键并收口历史兼容逻辑,done,P2,"services/authStorage.ts; services/focusListService.ts; services/screenerService.ts; services/authService.ts","已完成","统一收口到 quantdash:auth-token，并保留一次性迁移与清理旧 key",2026-04-17T01:32:00+08:00
T109,ops,排查当前机器到 EastMoney 的网络链路,done,P0,"scripts/diagnose_eastmoney_network.py; data/system/eastmoney_network_diagnostics.json","已完成","诊断文件已落地；当前环境 DNS 解析到 198.18.0.x 保留网段，trust_env true/false 均为 ConnectError，说明问题在网络/网关层，不在应用代码层",2026-04-17T01:32:00+08:00
